obs,BatID,species,type,se_value,MID,IID,dif
O1,20,V. vulturnus,right,0.03,20O1right,116,1.1999999999999993
O2,20,V. vulturnus,left,0.03,20O2left,117,-0.09999999999999787
O2,20,V. vulturnus,right,0.03,20O2right,118,0
O3,20,V. vulturnus,left,0.03,20O3left,119,0.10000000000000142
O3,20,V. vulturnus,right,0.03,20O3right,120,-0.10000000000000142
O1,21,V. vulturnus,left,0.03,21O1left,121,-0.3000000000000007
O1,21,V. vulturnus,right,0.03,21O1right,122,-1
O2,21,V. vulturnus,left,0.03,21O2left,123,0.10000000000000142
O2,21,V. vulturnus,right,0.03,21O2right,124,0
O3,21,V. vulturnus,left,0.03,21O3left,125,0.1999999999999993
O3,21,V. vulturnus,right,0.03,21O3right,126,0.3000000000000007
O1,22,V. vulturnus,left,0.03,22O1left,127,0.10000000000000142
O1,22,V. vulturnus,right,0.03,22O1right,128,0.3000000000000007
O2,22,V. vulturnus,left,0.03,22O2left,129,0.1999999999999993
O2,22,V. vulturnus,right,0.03,22O2right,130,0.10000000000000142
O3,22,V. vulturnus,left,0.03,22O3left,131,0.40000000000000213
O3,22,V. vulturnus,right,0.03,22O3right,132,0.09999999999999787
O1,23,V. vulturnus,left,0.03,23O1left,133,0
O1,23,V. vulturnus,right,0.03,23O1right,134,-0.10000000000000142
O2,23,V. vulturnus,left,0.03,23O2left,135,-0.1999999999999993
O2,23,V. vulturnus,right,0.03,23O2right,136,0
O3,23,V. vulturnus,left,0.03,23O3left,137,0
O3,23,V. vulturnus,right,0.03,23O3right,138,0
O1,24,V. vulturnus,left,0.03,24O1left,139,-0.10000000000000142
O1,24,V. vulturnus,right,0.03,24O1right,140,0.3000000000000007
O2,24,V. vulturnus,left,0.03,24O2left,141,0
O2,24,V. vulturnus,right,0.03,24O2right,142,0.09999999999999787
O3,24,V. vulturnus,left,0.03,24O3left,143,-0.1999999999999993
O3,24,V. vulturnus,right,0.03,24O3right,144,-0.1999999999999993
O1,25,V. vulturnus,left,0.03,25O1left,145,0
O1,25,V. vulturnus,right,0.03,25O1right,146,0
O2,25,V. vulturnus,left,0.03,25O2left,147,0.1999999999999993
O2,25,V. vulturnus,right,0.03,25O2right,148,0
O3,25,V. vulturnus,left,0.03,25O3left,149,-0.09999999999999787
O3,25,V. vulturnus,right,0.03,25O3right,150,-0.1999999999999993
O1,26,V. vulturnus,left,0.03,26O1left,151,-1.5
O1,26,V. vulturnus,right,0.03,26O1right,152,0
O2,26,V. vulturnus,left,0.03,26O2left,153,0.10000000000000142
